epochs,col_one_agg,col_two_agg,col_one_loc,col_two_loc,agg_loc,agg_agg
1,0.20256020545959472,0.20256020545959472,0.35756053352355954,0.3386815366744995,0.3481,0.2026
2,0.3478762903213501,0.3478762903213501,0.3804556884765625,0.36701188087463377,0.3737,0.3479
3,0.3861880702972412,0.3861880702972412,0.37918829154968264,0.3863037052154541,0.3827,0.3862
4,0.39632721328735354,0.39632721328735354,0.37044639205932617,0.39310881423950195,0.3818,0.3963
5,0.39355891799926757,0.39355891799926757,0.41926667785644534,0.41583728981018064,0.4176,0.3936
6,0.4278215808868408,0.4278215808868408,0.43225537109375,0.43027592849731444,0.4313,0.4278
7,0.44466420555114744,0.44466420555114744,0.4389062786102295,0.45697818183898925,0.4479,0.4447
8,0.45964302444458005,0.45964302444458005,0.4358080577850342,0.44447147178649904,0.4401,0.4596
9,0.4510132541656494,0.4510132541656494,0.4541139965057373,0.45866591453552247,0.4564,0.451
10,0.4696070499420166,0.4696070499420166,0.4834387035369873,0.5025645847320557,0.493,0.4696
11,0.5030393466949463,0.5030393466949463,0.5100752906799316,0.4840589752197266,0.4971,0.503
12,0.5066912822723388,0.5066912822723388,0.5313505935668945,0.5108597431182861,0.5211,0.5067
13,0.553824333190918,0.553824333190918,0.4820670490264893,0.5127446956634522,0.4974,0.5538
14,0.497274112701416,0.497274112701416,0.5645603408813477,0.5011524181365967,0.5329,0.4973
15,0.5636054840087891,0.5636054840087891,0.5595765609741211,0.5481229934692383,0.5538,0.5636
16,0.5567538776397705,0.5567538776397705,0.535780559539795,0.5336716384887695,0.5347,0.5568
17,0.5570463733673096,0.5570463733673096,0.5872287845611572,0.5980407199859619,0.5926,0.557
18,0.6036140213012695,0.6036140213012695,0.47981054306030274,0.6016570835113525,0.5407,0.6036
19,0.5728798789978027,0.5728798789978027,0.6272579975128174,0.5940873222351074,0.6107,0.5729
20,0.6503185386657715,0.6503185386657715,0.6258266677856446,0.6309035472869873,0.6284,0.6503
21,0.6512066650390625,0.6512066650390625,0.620786205291748,0.6570323066711425,0.6389,0.6512
22,0.6778882064819336,0.6778882064819336,0.6497346954345703,0.6841015796661377,0.6669,0.6779
23,0.6996524887084961,0.6996524887084961,0.6732386283874512,0.7003215446472167,0.6868,0.6997
24,0.7225359916687012,0.7225359916687012,0.6328336448669434,0.646280200958252,0.6396,0.7225
25,0.6996839694976806,0.6996839694976806,0.6881970977783203,0.6954485511779785,0.6918,0.6997
26,0.7088484210968018,0.7088484210968018,0.7198654537200928,0.7102038669586181,0.715,0.7088
27,0.7426276741027832,0.7426276741027832,0.6907149066925049,0.716223424911499,0.7035,0.7426
28,0.7358279495239258,0.7358279495239258,0.6824745674133301,0.7011976013183594,0.6918,0.7358
29,0.7208748855590821,0.7208748855590821,0.7224563255310058,0.750394344329834,0.7364,0.7209
30,0.7635644760131836,0.7635644760131836,0.7426187000274658,0.7304246559143066,0.7365,0.7636
31,0.7707015647888183,0.7707015647888183,0.7429088401794434,0.7508852577209473,0.7469,0.7707
32,0.7829666137695312,0.7829666137695312,0.7532515373229981,0.6460860118865966,0.6997,0.783
33,0.7367966899871826,0.7367966899871826,0.7090465869903565,0.7500239124298096,0.7295,0.7368
34,0.7784991054534912,0.7784991054534912,0.7465246391296386,0.7395511798858643,0.743,0.7785
35,0.7773334751129151,0.7773334751129151,0.756341718673706,0.7666829986572266,0.7615,0.7773
36,0.7846449069976806,0.7846449069976806,0.7515830535888672,0.7859589500427246,0.7688,0.7846
37,0.7899097175598144,0.7899097175598144,0.7675014495849609,0.7718882808685302,0.7697,0.7899
38,0.8017896823883056,0.8017896823883056,0.7727227745056152,0.7697101745605469,0.7712,0.8018
39,0.8029000205993653,0.8029000205993653,0.7593591499328614,0.7616917839050293,0.7605,0.8029
40,0.8008637733459473,0.8008637733459473,0.7696712493896485,0.761856143951416,0.7658,0.8009
